sentence,label,gpt3_label,chatGPT_labels
"French researchers determined that infection with human immunodeficiency virus (HIV) impaired results of transplant surgery for liver cancer, with more HIV infected patients dropping off the transplantation wait list.",3,3,1
The team found that overall survival and recurrence-free survival was not impacted following liver transplantation in patients with controlled HIV disease.,3,1,3
Safety checklist use yields 10 percent drop in hospital deaths,3,0,1
"Although prior research showed a major reduction in central-line related bloodstream infections at hospitals using the checklist, the new study is the first to show its use directly lowered mortality.",3,1,1
Many rheumatoid arthritis patients not getting recommended drugs  Stanford researcher finds,0,0,0
"Many patients with rheumatoid arthritis, a crippling disease that causes pain, swelling and eats away at the joints, aren't receiving the much-needed, low-cost medications that can prevent deformity.",0,0,0
"Despite medical guidelines recommending that patients receive early and aggressive treatment for rheumatoid arthritis with these medications, only 63 percent of Medicare-managed care patients diagnosed with the disease received any amount of the prescription drugs, according to a new study led by a researcher from the Stanford University School of Medicine that will be published Feb. 2 in the Journal of the American Medical Association.",0,3,3
Egg donation  The way to happy motherhood  with risks and side effects,3,0,0
Women who have become pregnant after egg donation should be categorized as high-risk patients.,1,0,0
"Why that is the case, and which consequences egg donation may have for women is the subject of a review article by Ulrich Pecks and co-authors from the University Hospital Aachen in the current issue of Deutsches &#196;rzteblatt International (Dtsch Arztebl In 2011; 1083]: 23-31).",0,0,0
Drugs warning    check the label,0,0,0
"A new study highlights inconsistencies in black box warnings - medication-related safety warnings on a drug's label - and argues for a more transparent and systematic approach to ensure these warnings are consistent across all drugs within a same category, and any additions to warnings, on the back of a drug withdrawal for example, are done within a reasonable and uniform time period.",0,3,0
The work by Orestis Panagiotou and John Ioannidis and colleagues from the University of Ioannina School of Medicine in Greece and Stanford University School of Medicine in the USA is published in Springer's journal Journal of General Internal Medicine.,0,0,0
Lymph node dissection is not essential in small screen detected lung cancers  new research shows,0,1,0
"Lymph node dissection,  the current standard surgical treatment for localized non-small cell lung cancers, may be unnecessary in certain screen-detected early stage cases , according to a study published in the March issue of the Journal of Thoracic Oncology (JTO), the official journal of the International Association for the Study of Lung Cancer.",0,3,0
"The risk of nodal involvement is very low in early-stage cancers with a maximum standard uptake value (maxSUV) of 2.0 or a nodule smaller than 10 millimeters, researchers found.",1,3,3
Better scheduling of admissions can reduce crowding at children s hospitals,3,1,1
Too many admissions at a hospital at one time can put patients at risk.,0,0,0
New online tool predicts probability of death from stroke,1,0,0
Researchers at St. Michael's Hospital and the Institute for Clinical and Evaluative Sciences (ICES) in Toronto have developed a new tool that will help doctors predict the probability of death in patients after an ischemic stroke.,1,1,0
"The study, published in the journal Circulation, found that the tool determined the likelihood of death in stroke patients 30 days and one year after an ischemic stroke.",1,1,0
As many as 3 in 4 hospital tests not followed up after discharge,0,0,0
"Up to three quarters of hospital tests are not being followed up, suggests a systematic review of international evidence, published in BMJ Quality and Safety.",0,3,3
"This failure can have serious implications for patients, including missed or delayed diagnoses and even death, the study shows.",0,3,0
Fountain of youth from the tap,0,0,0
"Professor Dr. Michael Ristow's team along with Japanese colleagues from universities in Oita and Hiroshima have demonstrated by two independent approaches that even a low concentration of lithium leads to an increased life expectancy in humans as well as in a model organism, the roundworm Caenorhabditis elegans.",3,1,1
The research team presents its results in the online edition of the scientific publication European Journal of Nutrition which is now online (see hyperlink below).,0,0,0
Health care disparities seen in epilepsy patients with low socioeconomic status,1,3,0
"A newly published report reveals patients with epilepsy and low socioeconomic status (SES) are more likely to have uncontrolled seizures, drug-related side effects, and a lower overall quality of life.",1,3,3
The study also indicates that low SES patients used the hospital emergency room more often and had more visits to a general practitioner than epileptic patients at higher socioeconomic levels.,1,3,3
Competing risks analysis highlights new targets in preventing ESRD and death of diabetics,3,0,0
Patients with both type 1 diabetes and CKD have an increased risk of adverse outcomes.,1,3,3
"Despite aggressive treatment, many patients with type 1 diabetes and overt nephropathy develop End-Stage Renal Disease (ESRD) and/or succumb to a premature death.",1,0,0
Americans and Canadians get different drug information online  UBC study,0,0,0
"Americans and Canadians are getting vastly different search results when they look up prescription drug information online, says a study by researchers at the University of British Columbia.",0,3,0
Residents of the United States searching on Google for both brand and generic drug names get directed to the government-run National Library of Medicine.,0,0,0
Screening mammograms catch second breast cancers early,1,0,0
Annual sonograms are needed to verify correct IUD position  UT Southwestern obstetricians say,0,0,0
A retrospective study of women who became pregnant while using intrauterine devices shows that more than half of the IUDs were malpositioned.,1,3,0
"Though the displacement may have occurred over time, a UT Southwestern Medical Center researcher suggests that routine sonograms after IUD placement would in the least confirm proper initial positioning.",0,0,0
"The antibiotics and immunosuppressive drugs required by organ transplant patients can cause deafness,  said Dr. Brian J. McKinnon, otologist and neurotologist at the Medical College of Georgia at Georgia Health Sciences University.",3,0,1
Acquisition of robotic technology leads to increased rates of prostate cancer surgery,3,0,1
"A new study conducted by researchers at NYU Langone Medical Center and Yale School of Medicine shows that when hospitals acquire surgical robotic technology, men in that region are more likely to have prostate cancer surgery.",1,3,3
"The study, ""The Association between Diffusion of the Surgical Robot and Radical Prostatectomy Rates"", was published this week in the online edition of the journal Medical Care.",1,0,3
Hospital use of virtual colonoscopy is on the rise  study suggests,0,0,0
This release is also available in Chinese on EurekAlert!,0,0,0
Laboratory grown urethras implanted in patients  scientists report,0,0,0
Researchers at the Institute for Regenerative Medicine at Wake Forest University Baptist Medical Center and colleagues reported today on a new advance in tissue engineering.,0,0,0
The team is the first in the world to use patients' own cells to build tailor-made urinary tubes and successfully replace damaged tissue.,0,0,0
"Depression is associated with an increased risk of developing kidney failure in the future, according to a study appearing in an upcoming issue of the Clinical Journal of the American Society Nephrology (CJASN).",1,3,3
Approximately 10% of the US population will suffer from depression at some point during their lifetime.,0,3,0
Coffee drinking linked to reduced stroke risk in women,1,3,3
"Drinking more than a cup of coffee a day was associated with a 22 percent to 25 percent lower risk of stroke, compared with those who drank less, in a study reported in Stroke: Journal of the American Heart Association.",1,3,3
"Low or no coffee consumption was associated with an increased risk of stroke in a study of 34,670 women (ages 49 to 83) followed for an average 10.4 years.",1,3,3
UT Southwestern research uncovers genetic link between emphysema  lung cancer,1,3,3
"A gene linked to emphysema also can be a factor for developing lung cancer unrelated to cigarette smoking, UT Southwestern Medical Center research indicates.",1,3,1
Smoking was the only known risk factor previously associated with both diseases.,0,0,3
Lessening the dangers of radiation,0,0,0
"For diagnosing head and neck ailments, tests that use radiation are always less desirable than those that don't.",0,0,0
"Otolaryngologists have a wide range of techniques available to them, including CT or ""CAT"" scans, MRI and ultrasound.",0,0,0
Patients with severe non inflammatory respiratory disease face anemia risk,1,0,3
"""The links between chronic obstructive pulmonary disease and anaemia are already well known, but our study also shows that anaemia is frequently found in patients with severe non-inflammatory respiratory diseases"" says lead author Dr Florian Kollert from the Department of Rheumatology and Clinical Immunology, University Medical Centre, Freiburg, Germany.",1,3,3
New national study finds boxing injuries on the rise  youth head injury rates also concerning,0,3,0
"The risk and nature of injury in the sport of boxing has generated a great deal of controversy in the medical community, especially in relation to youth boxing.",0,0,0
"A new study, conducted by researchers in the Center for Injury Research and Policy of The Research Institute at Nationwide Children's Hospital, examined boxing injuries among participants 6 years of age and older from 1990 to 2008.",0,0,0
Risk of hospital patient mortality increases with nurse staffing shortfalls  study finds,1,3,1
The goal for any hospital is to ensure that each of its patient-care units has an adequate number of nurses during every shift.,0,0,0
Frailty not a factor in adverse drug reactions among seniors  study finds,1,0,3
"Contrary to popular belief among physicians, frailty in elderly patients is not associated with an increased risk of adverse reactions to medications, according to a study led by Michael Steinman, MD, a geriatrician at the San Francisco VA Medical Center.",1,3,3
The study of 377 patients age 65 or older appears in the online Early View section of the Journal of the American Geriatrics Society.,0,0,0
Frequent CT scanning for testicular cancer surveillance associated with secondary malignancies,1,3,3
UC Davis cancer researchers have found that older men with early-stage testicular cancer who opt for surveillance with regular CT scans over lymph node removal are at greater risk for secondary cancers.,1,3,1
"The findings, published online last week in the journal Cancer, indicate that physicians should consider the risk of new cancers with surveillance when discussing treatment options with their patients.",0,0,3
Selective strategy  recommended for CT scans in emergency departments,0,0,0
Emergency medicine researchers with the University of Cincinnati (UC) are advocating a new strategy for diagnosing a common but dangerous condition in the emergency room.,0,0,0
"Pulmonary embolism, or PE, is a potentially lethal disease in which a blood clot, usually from the legs, travels to the lungs and becomes lodged in a pulmonary artery.",0,0,0
New study adds weight to diabetes drug link to heart problems,1,3,3
A new study published on bmj.com today adds to mounting evidence that rosiglitazone -  a drug used to treat type 2 diabetes - is associated with an increased risk of major heart problems.,1,3,1
"It finds that rosiglitazone is associated with significantly higher odds of congestive heart failure, heart attack and death compared with a similar drug (pioglitazone).",1,3,3
Medically underserved girls receive less frequent evaluation for short stature,1,0,0
"Primary care doctors are less likely to refer short girls than short boys for diagnostic testing that can reveal underlying medical reasons for their short stature, according to a new study of an urban pediatric population in Philadelphia.",1,3,3
"Girls with medical conditions causing their short stature may go undiagnosed, or may be diagnosed later than boys, limiting timely treatment.",1,3,0
Treatments for recurring TB infection failing the developing world  study finds,0,0,3
"In a study published today in the open access journal PLoS Medicine, researchers call for improved access to rapid diagnostics for drug resistant TB, second-line TB treatment and antiretroviral HIV therapy.",0,0,0
"A small, retrospective study determined that percutaneous coronary intervention (PCI) was safe in patients with significant coronary artery disease (CAD) who were referred for liver transplantation.",0,3,0
Larger studies are needed to determine the effectiveness of angioplasty in patients with end-stage liver disease (ESLD).,0,0,0
Supply of hospice services strongly associated with local area s median household income,1,3,3
This release is available in Spanish.,0,0,0
"Ann Arbor, Mich. -- Wealth, population size, race and age associate with the supply of hospice care available in a county, according to a study published in the Journal of Pain and Symptom Management this month.",1,3,3
Road traffic pollution doubles risk of rejection after lung transplant,3,0,1
"Lung transplant patients have double the risk of organ rejection and death within five years of the procedure if they live near a main road, indicates research published online in Thorax.",1,3,1
The Belgian researchers tracked the health of 281 patients who had undergone a lung transplant or retransplant at the same hospital between 1997 and 2008 until 2009.,0,0,0
Study challenges concerns on effectiveness of administering pneumococcal  shingles vaccines together,0,0,0
"Administering both the pneumococcal and the herpes zoster vaccines to patients during the same visit is beneficial and does not appear to compromise the protective effect of the zoster vaccine, according to a Kaiser Permanente study published today in the journal Vaccine.",3,1,1
The study's findings challenge information in the zoster vaccine manufacturer's package insert.,0,0,0
Epileptic seizures linked to significant risk of subsequent brain tumor,1,3,3
"Epileptic seizures can precede the development of a subsequent brain tumour by many years, suggests research published online in the Journal of Neurology, Neurosurgery and Psychiatry.",1,3,3
"The risk seems to be greatest among those aged between 15 and 44 when first admitted  to hospital for an epileptic seizure, the findings show.",1,3,3
Ambulatory monitoring reveals many patients have  white coat  hypertension,0,0,3
"A third of patients thought to have resistant hypertension had ""white coat"" hypertension during 24-hour ambulatory monitoring, in a large study reported in Hypertension: Journal of the American Heart Association.",1,3,3
"In ambulatory blood pressure monitoring, the patient's blood pressure is checked at regular intervals under normal living and working conditions.",0,0,0
"More than 2 million Americans live with atrial fibrillation (AF), an irregular heart rhythm that occurs when the heart's two upper chambers beat erratically, causing the chambers to pump blood rapidly, unevenly and inefficiently.",0,0,0
Study reveals how high fat diet during pregnancy increases risk of stillbirth,3,3,1
"The new data show eating a typical American diet, which is high in fat, decreases blood flow from the mother to the placenta, the temporary organ that nourishes the unborn fetus.",3,1,1
Remove children s catheters as soon as possible to prevent bloodstream infections,3,0,0
"The findings will be presented on Saturday, April 2, at the annual meeting of the Society for Healthcare Epidemiology of America.",0,0,0
Shave biopsy is a safe and acceptable method for initial evaluation of melanoma,0,0,0
"A shave biopsy is a reasonably safe and accurate method for the initial diagnosis of melanoma, according to a study published in the April issue of the Journal of the American College of Surgeons.",0,1,0
"In the past, some physicians have criticized shave biopsies for not providing accurate T (tumor) stage information, thereby complicating treatment planning.",0,0,0
Sudden cardiac death affects about 1 in 44 000 NCAA athletes a year,0,0,0
"About one in 44,000 National Collegiate Athletic Association athletes has sudden cardiac death each year, according to a new study in Circulation: Journal of the American Heart Association.",0,3,0
Body mass index in adolescence associated with early occurrence of diabetes and heart disease,1,3,3
The findings are published in the April 7 issue of the New England Journal of Medicine.,0,0,0
"ACE inhibitors, commonly used to control high blood pressure and heart failure in women, may be associated with an increased risk of recurrence in women who have had breast cancer, according to a study by researchers at UCLA's Jonsson Comprehensive Cancer Center.",1,3,0
Off label marketing of medicines in the US is rife but difficult to control,0,0,0
"Despite Federal Drug Administration regulation of the approval and use of pharmaceutical products, ""off-label"" marketing of drugs (for purposes other than those for which the drug was approved) has occurred in all aspects of the US health care system.",0,0,0
"In a study published in this week's PLoS Medicine, Aaron S. Kesselheim from Brigham and Women's Hospital, Boston, USA and colleagues report that the most common alleged off-label marketing practices also appear to be the most difficult to control through external regulatory approaches.",0,0,0
Gene variant increases fatty liver risk and fibrosis progression,3,3,1
New research confirms that a variant on the patatin-like phospholipase-3 (PNPLA3) gene increases risk of steatosis and fibrosis progression in patients with chronic hepatitis C virus (HCV).,3,1,1
The PNPLA3 single nucleotide polymorphism (SNP) rs 738409 may represent an important genetic predictor and potential therapeutic target in chronic HCV liver damage.,1,0,0
Packing on the pounds in middle age linked to dementia,1,3,3
"The research is published in the May 3, 2011, print issue of Neurology&reg;, the medical journal of the American Academy of Neurology.",0,0,0
Effects of depression on quality of life improvement after endoscopic sinus surgery,3,3,1
"Depression is a common problem in patients with chronic rhinosinusitis (CRS) and negatively impacts patients' symptom burden, ability to function, and quality of life (QOL), according to new research published in the March 2011 issue of Otolaryngology - Head and Neck Surgery.",3,3,3
"Nearly 14 percent of Americans suffer from chronic sinusitis and may have the following symptoms for 12 weeks or more; facial pain/pressure, facial congestion/fullness, nasal obstruction/blockage, thick nasal discharge/discolored post-nasal drainage, and periodic high fever.",0,0,0
FATE results prove to be useful in end of life care,0,0,0
"Though there have been significant improvements in the treatment of head and neck cancer, there is still a lack of data on the experience of end of life care for head and neck cancer patients, according to a new study published in the May 2011 issue of Otolaryngology-Head and Neck Surgery.",0,0,0
"As discussed in this study, the United States Department of Veterans Affairs group has developed the Family Assessment of Treatment at the End of life (FATE) survey, which is administered to families of deceased veterans.",0,0,0
"Kidney transplant recipients who develop antibodies in response to receiving new organs can develop accelerated arteriosclerosis, or narrowing of the arteries that supply blood to the kidney, according to a study appearing in an upcoming issue of the Journal of the American Society Nephrology (JASN).",3,1,1
Overdose deaths down 35 percent after opening of Vancouver s supervised injection site  UBC BC CfE study,1,1,1
"Illicit drug overdose deaths in Vancouver's Downtown Eastside dropped by 35 per cent after the establishment of Insite, North America's first supervised injection facility, according a new study by researchers at the University of British Columbia and the British Columbia Centre for Excellence in HIV/AIDS.",1,1,1
"Published today in The Lancet, the study is the first to assess the impact of supervised injection sites on overdose mortality.",3,1,1
Minorities born with heart defects at higher risk of dying in early childhood than whites,1,3,3
Hispanic black infants born with heart defects are more likely to die within the first five years of life than their non-Hispanic white and Hispanic peers.,1,3,3
"For certain types of congenital heart abnormalities, Hispanic children as well as non-Hispanic black children fare worse than non-Hispanic white children.",1,3,3
Use of topical corticosteroids in children with eczema does not have negative side effects,3,1,0
"A new study published in the journal Pediatric Dermatology reveals that routine, long-term use of topical corticosteroids (TCS) for treating children with eczema does not cause any significant, negative side effects.",3,1,1
Parental phobia of TCS is widespread and leads to poorly managed eczema in children.,3,0,1
Green light for flu vaccine in transplant recipients,0,0,0
"Getting vaccinated against the flu lowers kidney transplant recipients' risk of organ loss and death, according to a study appearing in an upcoming issue of the Clinical Journal of the American Society Nephrology (CJASN).",3,1,1
The results suggest that concerns about the safety of the influenza vaccine in transplant recipients are unwarranted.,0,0,0
"Chronic kidney disease (CKD) is common and linked with heart disease in the very elderly, according to a study appearing in an upcoming issue of the Clinical Journal of the American Society Nephrology (CJASN).",1,3,3
CKD is a major public health problem that disproportionately affects the elderly.,0,0,0
Kidney disease coupled with heart disease common problem in elderly,1,0,0
Patients on peritoneal dialysis (PD) typically have a higher early survival rate than patients on hemodialysis (HD).,1,3,3
"New data suggest that this difference may be explained by a higher risk of early deaths among patients undergoing HD with central venous catheters, according to a study appearing in an upcoming issue of the Journal of the American Society of Nephrology (JASN).",1,3,1
Immigrant screening misses majority of imported latent TB  finds study,0,3,3
"Current UK procedures to screen new immigrants for tuberculosis (TB) fail to detect more than 70 per cent of cases of latent infection, according to a new study published in The Lancet Infectious Diseases.",0,3,0
"TB is caused by a bacterial infection which is normally asymptomatic, but around one in 10 infections leads to active disease, which attacks the lungs and kills around half of people affected.",3,0,0
Patients who see preferred doctor less likely to go for emergency hospital admission,1,0,1
A new study led by the University of Leicester has concluded that being able to see the GP of your choice in a doctor's surgery helps to reduce emergency hospital admissions.,3,1,1
The findings by researchers in the Department of Health Sciences at the University of Leicester revealed a correlation between patients being able to see a preferred GP and emergency hospital admissions.,1,3,3
Swiss US team finds indigenous cases of leprosy in the Southern United States,0,0,0
"Using advanced DNA analysis and extensive field work, an international research team has confirmed the link between leprosy infection in Americans and direct contact with armadillos.",1,1,1
"In a joint collaboration between the Global Health Institute at EPFL in Switzerland and Louisiana State University, clear evidence was found that a never-before-seen strain of Mycobacterium leprae has emerged in the Southern United States and that it is transmitted through contact with armadillos carrying the disease.",3,1,1
Study finds highest reported BPA level in pregnant woman and associated abnormalities in infant,1,3,3
A new case study examining an infant's neurobehavioral abnormalities and extremely high bisphenol A (BPA) concentration of the baby's mother suggests a link between the two.,1,3,1
"The study, Environmental Health Perspectives: A Case Study of High Prenatal Bisphenol A Exposure and Infant Neonatal Neurobehavior, was led by researcher Sheela Sathyanarayana, MD of Seattle Children's Research Institute, and recently published online in Environmental Health Perspectives.",0,0,1
IPF lung disease numbers are rising quickly to become a significant cause of mortality in UK,3,0,0
IPF is the most common of the pneumonias that happen without an apparent cause and previous studies have shown that incidence and deaths from the disease are rising in the UK and the USA.,0,0,0
Routine rotavirus vaccination in Brazil has reduced diarrhea deaths in children,3,1,1
"Rotavirus vaccination in all areas of Brazil is associated with reduced diarrhea-related deaths and hospital admissions in children aged under five years, reports a study in this week's PLoS Medicine.",1,3,1
"Manish Patel from the Centers for Disease Control and Prevention in Atlanta, Georgia, USA, and colleagues show that these real-world impact data--what actually happens in reality rather than in strictly controlled clinical trial settings--are consistent with the clinical trials and conclude that their study strengthens the evidence base for use of rotavirus vaccination as an effective measure for controlling severe and fatal childhood diarrhea.",3,1,1
Concern over  excessive  doses of thyroid drugs for older patients,0,0,0
"Many older adults may be taking ""excessive"" doses of drugs for thyroid problems which can lead to an increased risk of fractures, finds a study published on bmj.com today.",3,1,1
The study raises concern that treatment targets may need to be modified in the elderly and that regular dose monitoring remains essential even into older age.,0,0,0
Metabolic syndrome increases risk of both major types of primary liver cancer,3,3,3
Incidence rates of hepatocellular carcinoma (HCC) and intrahepatic cholangiocarcinoma (ICC) have increased in the U.S.,0,3,0
"This population-based study publishing in the August issue of Hepatology, a journal of the American Association for the Study of Liver Diseases, found that metabolic syndrome significantly increases risk of developing these primary liver cancers.",3,1,3
Short antibiotic courses safer for breathing tube infections in children,3,1,1
"In the study's analysis of 150 children treated with antibiotics for respiratory infections while on a ventilator, longer antibiotic courses did not only fail to confer extra protection against full-blown pneumonia when compared with shorter therapy, but also considerably increased a child's risk for developing drug-resistant infections within a month.",3,3,1
Inducing labor is not associated with higher rates of cesarean sections,1,3,3
"A new study published in the international Nordic journal Acta Obstetricia et Gynecologica Scandinavica (AOGS) reveals that inducing labor in the weeks around term, or from week 39 to week 41, is not connected with higher rates of cesarean section compared with waiting for a later spontaneous or induced labor.",1,1,1
"There has been much debate about this in recent years with a concern that induction as opposed to expectant management might lead to a higher risk for the woman to end up with emergency cesarean section, rather than to deliver normally.",0,0,0
Cigarette smoking and arsenic exposure  A deadly combination,3,3,1
Arsenic exposure and smoking each elevate the risk of disease.,3,3,1
"But when combined together, the danger of dying from cardiovascular disease is magnified, a new study finds.",1,3,1
Large study finds CT scans are frequently unnecessary after head injury in children,0,0,0
"Overall, roughly half of U.S. children taken to hospital emergency departments (EDs) for a head injury receive a head CT scan, often to ease worried parents' concerns.",0,0,0
Yet true traumatic brain injury is uncommon.,0,0,0
Researchers analyzed the duration of prescription non-steroidal anti-inflammatory drugs (NSAIDs) treatment and cardiovascular risk in a nationwide Danish cohort of patients with prior heart attack.,0,3,3
Heart health impacts wellbeing of patients with chronic obstructive pulmonary disease,3,3,3
A new study has found that processes that control heart rate play an important role in the quality of life experienced by patients with chronic obstructive pulmonary disease (COPD).,3,3,1
Laser removal of heart device wires safe for older patients,0,0,0
"Using a laser to remove wires connecting implanted pacemakers and defibrillators to the heart is as safe in people age 80 or older as it is in younger patients, according to research reported in Circulation: Arrhythmia & Electrophysiology, an American Heart Association journal.",0,1,0
"""We wanted to know if age was a risk factor in this procedure, and if octogenarians fare as well as younger patients,"" said Roger G. Carrillo, M.D., senior study author and chief of surgical electrophysiology at the University of Miami Hospital in Florida.",1,3,0
Cognitive impairment seen in preschool children with epilepsy,1,0,0
"A recent study has shown that cognitive impairment is evident early on in preschool children with epilepsy, consistent with results of similar studies in older children.",1,3,3
Age of onset of first seizure is a significant predictor of cognitive impairment according to this study--the first to evaluate cognitive impairment in children age three to six.,1,3,3
Study examines impact of Massachusetts health law on emergency department visits,3,1,0
"While overall emergency department use in Massachusetts continues to rise, the number of low-severity visits dropped slightly since the implementation of the state's health care reform law, according to an Annals of Emergency Medicine study published online.",1,3,3
